dataset,gamma,stage3_confidence_mode,scope,status,epoch,best_epoch,clean_acc,topk_name,topk,asr,rac,recall,precision,f1,fpr,correction_rate,checkpoint_score,config,result_dir
IEEE_CIS_FRAUD,5.0000,bounded_relative_gap,final_epoch,ok,50.0000,,0.8299,2,1.0000,0.1061,0.7916,0.8935,0.8181,0.8541,0.1309,0.8934,0.8723,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/IEEE_CIS_FRAUD_3clients_noema_bounded_q_gamma_5.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/IEEE_CIS_FRAUD_3clients_noema_bounded_q_gamma_5.0
IEEE_CIS_FRAUD,5.0000,bounded_relative_gap,best_checkpoint,ok,50.0000,35.0000,0.8308,2,1.0000,0.0996,0.7985,0.9002,0.8325,0.8650,0.1195,0.9000,0.8770,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/IEEE_CIS_FRAUD_3clients_noema_bounded_q_gamma_5.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/IEEE_CIS_FRAUD_3clients_noema_bounded_q_gamma_5.0
NUSWIDE,0.5000,bounded_relative_gap,final_epoch,ok,50.0000,,0.7826,4,0.9944,0.0609,0.7012,0.6519,0.0247,0.0476,0.2056,0.3555,0.5967,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/NUSWIDE_3clients_noema_bounded_q_gamma_0.5.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/NUSWIDE_3clients_noema_bounded_q_gamma_0.5
NUSWIDE,0.5000,bounded_relative_gap,best_checkpoint,ok,50.0000,1.0000,0.7674,4,0.9965,0.2666,0.6675,0.6904,0.2858,0.4042,0.2121,0.4864,0.6480,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/NUSWIDE_3clients_noema_bounded_q_gamma_0.5.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/NUSWIDE_3clients_noema_bounded_q_gamma_0.5
NUSWIDE,1.0000,bounded_relative_gap,final_epoch,ok,50.0000,,0.7828,4,0.9944,0.0607,0.7011,0.6519,0.0247,0.0476,0.2056,0.3567,0.5971,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/NUSWIDE_3clients_noema_bounded_q_gamma_1.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/NUSWIDE_3clients_noema_bounded_q_gamma_1.0
NUSWIDE,1.0000,bounded_relative_gap,best_checkpoint,ok,50.0000,1.0000,0.7673,4,0.9965,0.2678,0.6693,0.6904,0.2858,0.4042,0.2121,0.4961,0.6513,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/NUSWIDE_3clients_noema_bounded_q_gamma_1.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/NUSWIDE_3clients_noema_bounded_q_gamma_1.0
NUSWIDE,2.0000,bounded_relative_gap,final_epoch,ok,50.0000,,0.7829,4,0.9944,0.0612,0.7012,0.6519,0.0247,0.0476,0.2056,0.3555,0.5968,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/NUSWIDE_3clients_noema_bounded_q_gamma_2.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/NUSWIDE_3clients_noema_bounded_q_gamma_2.0
NUSWIDE,2.0000,bounded_relative_gap,best_checkpoint,ok,50.0000,1.0000,0.7674,4,0.9965,0.2705,0.6702,0.6904,0.2858,0.4042,0.2121,0.5028,0.6535,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/NUSWIDE_3clients_noema_bounded_q_gamma_2.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/NUSWIDE_3clients_noema_bounded_q_gamma_2.0
NUSWIDE,5.0000,bounded_relative_gap,final_epoch,ok,50.0000,,0.7831,4,0.9944,0.0612,0.7012,0.6519,0.0247,0.0476,0.2056,0.3530,0.5960,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/NUSWIDE_3clients_noema_bounded_q_gamma_5.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/NUSWIDE_3clients_noema_bounded_q_gamma_5.0
NUSWIDE,5.0000,bounded_relative_gap,best_checkpoint,ok,50.0000,1.0000,0.7673,4,0.9965,0.2724,0.6701,0.6904,0.2858,0.4042,0.2121,0.5048,0.6541,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/NUSWIDE_3clients_noema_bounded_q_gamma_5.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/NUSWIDE_3clients_noema_bounded_q_gamma_5.0
