dataset,checkpoint,split,scope,client_id,count,mean,std,min,p50,p90,p95,p99,max,checkpoint_file,config
PHISHING,final_latest,poison_test,all_client_positions,0,17730,54750.9,198268,0.000538317,9142.44,96304.7,224775,1.87703e+06,1.93732e+06,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,final_latest,poison_test,remaining_client_positions,0,5266,28384.9,44811.7,0.00154323,12057.7,92410,109462,113359,1.93732e+06,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,final_latest,poison_test,all_client_positions,1,17730,4049.92,8100.64,0.0111457,5272.63,5272.63,5272.63,32128.8,416012,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,final_latest,poison_test,remaining_client_positions,1,5470,2961.3,12413.2,0.0246636,55.4312,5442.34,16257,50793.3,416012,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,final_latest,poison_test,all_client_positions,2,17730,24978.6,9220.45,1.19209e-07,28328.4,28328.4,28328.4,28328.4,78653.6,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,final_latest,poison_test,remaining_client_positions,2,1409,15454.3,14092.3,1.19209e-07,28328.4,28328.4,28328.4,28328.4,28328.4,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,best_checkpoint,clean_test,all_client_positions,all,53190,26528.2,145089,1.19209e-07,3618.17,35252.7,67856.7,334944,2.82165e+06,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,best_checkpoint,clean_test,remaining_client_positions,all,3535,1231.7,9617.86,1.19209e-07,4.06591,163.369,3618.17,28328.4,392714,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,best_checkpoint,clean_test,all_client_positions,0,17730,59758.5,246186,0.0003151,9212.48,99285.6,188299,2.37669e+06,2.82165e+06,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,best_checkpoint,clean_test,remaining_client_positions,0,1087,3069.61,16714.7,0.0003151,2.91236,1934.43,17082.5,82399.2,392714,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,best_checkpoint,clean_test,all_client_positions,1,17730,3534.49,11820.9,0.00103519,3618.17,3618.17,5550.18,37277.5,990976,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,best_checkpoint,clean_test,remaining_client_positions,1,1408,287.01,1236.44,0.0124591,4.51144,110.342,3618.17,3618.17,21620.1,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,best_checkpoint,clean_test,all_client_positions,2,17730,16291.5,25833.1,1.19209e-07,28328.4,28328.4,28328.4,28328.4,1.9234e+06,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,best_checkpoint,clean_test,remaining_client_positions,2,1040,589.695,3898.12,1.19209e-07,3.35062,58.1392,198.85,28328.4,28328.4,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,best_checkpoint,poison_test,all_client_positions,all,53190,29399.7,144272,1.19209e-07,3870.98,35252.7,67856.7,334944,2.82165e+06,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,best_checkpoint,poison_test,remaining_client_positions,all,12098,13450.8,26823.1,1.19209e-07,304.251,39907.2,73963.5,111728,990976,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,best_checkpoint,poison_test,all_client_positions,0,17730,59758.5,246186,0.0003151,9212.48,99285.6,188299,2.37669e+06,2.82165e+06,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,best_checkpoint,poison_test,remaining_client_positions,0,5191,23012.8,32393.2,0.00490155,7623.26,78686.4,101935,113267,392714,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,best_checkpoint,poison_test,all_client_positions,1,17730,3534.49,11820.9,0.00103519,3618.17,3618.17,5550.18,37277.5,990976,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,best_checkpoint,poison_test,remaining_client_positions,1,5448,3592.1,18947,0.0141696,47.0671,7430.17,18447.7,62085,990976,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
